"Sample_ID","Site","Distance","Community"
"220604_01","Veragua",7.48165953305255,"Whole community"
"220604_02","Veragua",7.04155962622117,"Whole community"
"220604_03","Veragua",18.8086923126726,"Whole community"
"220604_04","Veragua",5.67278986228072,"Whole community"
"220604_05","Veragua",7.30406839040973,"Whole community"
"220604_06","Veragua",5.50877859025097,"Whole community"
"220604_07","Veragua",9.11948066815299,"Whole community"
"220606_02","Veragua",2.70845436152636,"Whole community"
"220606_04","Veragua",11.1456397116829,"Whole community"
"220607_01","Veragua",10.1545645373225,"Whole community"
"220607_02","Veragua",2.98664275139269,"Whole community"
"220607_03","Veragua",13.5573712944308,"Whole community"
"220607_04","Veragua",4.59709967215526,"Whole community"
"220609_01","Veragua",10.9407371206194,"Whole community"
"220609_02","Veragua",8.62202519252038,"Whole community"
"220609_03","Veragua",4.7909998604701,"Whole community"
"220609_04","Veragua",4.08799108522548,"Whole community"
"220609_07","Veragua",12.5970489487902,"Whole community"
"220707_11","Altos de Campana",5.15774687863216,"Whole community"
"220707_12","Altos de Campana",1.85761592101845,"Whole community"
"220707_13","Altos de Campana",1.6966178956618,"Whole community"
"220707_14","Altos de Campana",3.71532657519631,"Whole community"
"220707_15","Altos de Campana",6.65687955306812,"Whole community"
"220707_16","Altos de Campana",3.96409340643347,"Whole community"
"220707_17","Altos de Campana",3.06706743492775,"Whole community"
"220707_18","Altos de Campana",6.62220945862539,"Whole community"
"220707_19","Altos de Campana",6.83302830152673,"Whole community"
"220707_20","Altos de Campana",4.92008285126417,"Whole community"
"220708_01","Soberanía",4.05407987927688,"Whole community"
"220708_02","Soberanía",8.04446774124544,"Whole community"
"220708_03","Soberanía",4.40987087109397,"Whole community"
"220708_04","Soberanía",9.1133639154031,"Whole community"
"220708_05","Soberanía",5.50456890115359,"Whole community"
"220708_06","Soberanía",7.97535505456767,"Whole community"
"220708_07","Soberanía",4.54056638483662,"Whole community"
"220708_08","Soberanía",8.33824433290398,"Whole community"
"220708_09","Soberanía",10.2496099074873,"Whole community"
"220708_10","Soberanía",17.3687333432304,"Whole community"
"250607_01","Lost Iguana",1.87445124764155,"Whole community"
"250607_02","Lost Iguana",3.63065796825334,"Whole community"
"250607_03","Lost Iguana",10.1832188468231,"Whole community"
"250607_04","Lost Iguana",7.93365889930089,"Whole community"
"250607_05","Lost Iguana",3.28003141009052,"Whole community"
"250607_07","Lost Iguana",2.08992644172918,"Whole community"
"250607_08","Lost Iguana",3.83807281297731,"Whole community"
"250607_09","Lost Iguana",2.23136976105547,"Whole community"
"250607_10","Lost Iguana",7.63191671792117,"Whole community"
"220604_01","Veragua",2.65951684444165,"Anti-Bd community"
"220604_02","Veragua",3.854539866685,"Anti-Bd community"
"220604_03","Veragua",9.73612886781512,"Anti-Bd community"
"220604_04","Veragua",2.47724863448832,"Anti-Bd community"
"220604_05","Veragua",3.5941926124611,"Anti-Bd community"
"220604_06","Veragua",1.99445239810184,"Anti-Bd community"
"220604_07","Veragua",3.48801583101625,"Anti-Bd community"
"220606_02","Veragua",2.95366168863942,"Anti-Bd community"
"220606_04","Veragua",4.74031973631439,"Anti-Bd community"
"220607_01","Veragua",4.98533709911887,"Anti-Bd community"
"220607_02","Veragua",2.83095132674462,"Anti-Bd community"
"220607_03","Veragua",1.5784838323766,"Anti-Bd community"
"220607_04","Veragua",3.69207418502605,"Anti-Bd community"
"220609_01","Veragua",2.34710674394745,"Anti-Bd community"
"220609_02","Veragua",3.50094683323058,"Anti-Bd community"
"220609_03","Veragua",0.412716279470811,"Anti-Bd community"
"220609_04","Veragua",1.49455406916262,"Anti-Bd community"
"220609_07","Veragua",4.22777740869875,"Anti-Bd community"
"220707_11","Altos de Campana",2.85319090528407,"Anti-Bd community"
"220707_12","Altos de Campana",0.628282781469863,"Anti-Bd community"
"220707_13","Altos de Campana",3.79569254311981,"Anti-Bd community"
"220707_14","Altos de Campana",1.83553428693169,"Anti-Bd community"
"220707_15","Altos de Campana",2.99755873109788,"Anti-Bd community"
"220707_16","Altos de Campana",1.38806223590648,"Anti-Bd community"
"220707_17","Altos de Campana",4.6871106832146,"Anti-Bd community"
"220707_18","Altos de Campana",2.74373546502943,"Anti-Bd community"
"220707_19","Altos de Campana",1.40208724961191,"Anti-Bd community"
"220707_20","Altos de Campana",3.02770859347998,"Anti-Bd community"
"220708_01","Soberanía",1.9981263163205,"Anti-Bd community"
"220708_02","Soberanía",3.9953022025784,"Anti-Bd community"
"220708_03","Soberanía",2.25814111930254,"Anti-Bd community"
"220708_04","Soberanía",4.30671890953398,"Anti-Bd community"
"220708_05","Soberanía",5.91810048373622,"Anti-Bd community"
"220708_06","Soberanía",2.9043468219821,"Anti-Bd community"
"220708_07","Soberanía",2.21593065338523,"Anti-Bd community"
"220708_08","Soberanía",4.06138085827982,"Anti-Bd community"
"220708_09","Soberanía",3.26090218621783,"Anti-Bd community"
"220708_10","Soberanía",7.47399289188403,"Anti-Bd community"
"250607_01","Lost Iguana",3.89378847296869,"Anti-Bd community"
"250607_02","Lost Iguana",4.97895008943369,"Anti-Bd community"
"250607_03","Lost Iguana",2.51390539001478,"Anti-Bd community"
"250607_04","Lost Iguana",5.44916076445705,"Anti-Bd community"
"250607_05","Lost Iguana",1.20905029738028,"Anti-Bd community"
"250607_07","Lost Iguana",3.34563238150727,"Anti-Bd community"
"250607_08","Lost Iguana",2.82343300868665,"Anti-Bd community"
"250607_09","Lost Iguana",1.23512337228126,"Anti-Bd community"
"250607_10","Lost Iguana",6.44460339407292,"Anti-Bd community"
