"Sample_ID","Site","Annotation"
"250607_10","Lost Iguana","Site"
"250607_01","Lost Iguana","Site"
"250607_03","Lost Iguana","Site"
"250607_08","Lost Iguana","Site"
"250607_09","Lost Iguana","Site"
"250607_05","Lost Iguana","Site"
"250607_07","Lost Iguana","Site"
"250607_02","Lost Iguana","Site"
"250607_04","Lost Iguana","Site"
"220604_03","Veragua","Site"
"220606_04","Veragua","Site"
"220607_01","Veragua","Site"
"220604_01","Veragua","Site"
"220604_07","Veragua","Site"
"220604_06","Veragua","Site"
"220607_04","Veragua","Site"
"220604_05","Veragua","Site"
"220606_02","Veragua","Site"
"220604_02","Veragua","Site"
"220609_07","Veragua","Site"
"220609_02","Veragua","Site"
"220609_03","Veragua","Site"
"220609_04","Veragua","Site"
"220609_01","Veragua","Site"
"220607_03","Veragua","Site"
"220604_04","Veragua","Site"
"220607_02","Veragua","Site"
"220707_17","Altos de Campana","Site"
"220707_13","Altos de Campana","Site"
"220707_15","Altos de Campana","Site"
"220707_20","Altos de Campana","Site"
"220707_14","Altos de Campana","Site"
"220707_18","Altos de Campana","Site"
"220707_12","Altos de Campana","Site"
"220707_11","Altos de Campana","Site"
"220707_16","Altos de Campana","Site"
"220707_19","Altos de Campana","Site"
"220708_01","Soberanía","Site"
"220708_05","Soberanía","Site"
"220708_08","Soberanía","Site"
"220708_03","Soberanía","Site"
"220708_07","Soberanía","Site"
"220708_06","Soberanía","Site"
"220708_02","Soberanía","Site"
"220708_04","Soberanía","Site"
"220708_09","Soberanía","Site"
"220708_10","Soberanía","Site"
